id,title,artist,streams_b,tb_polarity,tb_subjectivity,vader_compound,vader_positive,vader_negative,vader_neutral,word_count,unique_word_count,lexical_diversity,avg_word_length
blinding_lights,Blinding Lights,The Weeknd,5.34,0.0321,0.5119,0.7184,0.09,0.079,0.831,291.0,95.0,0.3265,3.14
shape_of_you,Shape of You,Ed Sheeran,4.83,0.3124,0.5002,0.9995,0.245,0.011,0.745,732.0,146.0,0.1995,3.2
sweater_weather,Sweater Weather,The Neighbourhood,4.48,-0.1004,0.657,0.9829,0.123,0.064,0.814,363.0,133.0,0.3664,3.58
starboy,Starboy,The Weeknd,4.44,0.1315,0.5053,0.9998,0.492,0.08,0.428,636.0,169.0,0.2657,3.23
as_it_was,As It Was,Harry Styles,4.32,0.0786,0.2506,0.765,0.049,0.027,0.924,261.0,97.0,0.3716,3.18
someone_you_loved,Someone You Loved,Lewis Capaldi,4.27,0.2519,0.5291,0.9788,0.14,0.077,0.783,336.0,96.0,0.2857,3.59
sunflower,Sunflower,Post Malone,4.17,-0.1255,0.4424,-0.8961,0.08,0.15,0.77,334.0,125.0,0.3743,3.33
one_dance,One Dance,Drake,4.12,0.1098,0.3056,0.9911,0.168,0.083,0.749,470.0,131.0,0.2787,3.37
perfect,Perfect,Ed Sheeran,3.89,0.4369,0.663,0.9974,0.25,0.049,0.701,308.0,129.0,0.4188,3.69
stay,STAY,The Kid LAROI,3.84,0.0267,0.4782,-0.8519,0.063,0.089,0.848,440.0,83.0,0.1886,3.07
believer,Believer,Imagine Dragons,3.79,0.0445,0.3465,-0.9913,0.071,0.168,0.761,418.0,131.0,0.3134,3.72
heat_waves,Heat Waves,Glass Animals,3.7,-0.0576,0.3841,0.9928,0.156,0.055,0.789,437.0,114.0,0.2609,3.78
lovely,lovely,Billie Eilish,3.7,0.3692,0.5308,0.9773,0.211,0.111,0.678,196.0,82.0,0.4184,3.52
i_wanna_be_yours,I Wanna Be Yours,Arctic Monkeys,3.68,-0.0867,0.345,0.6705,0.04,0.015,0.945,239.0,64.0,0.2678,3.75
the_night_we_met,The Night We Met,Lord Huron,3.66,0.1591,0.3136,-0.9571,0.011,0.111,0.878,191.0,66.0,0.3455,3.27
yellow,Yellow,Coldplay,3.66,0.2431,0.4208,0.9766,0.122,0.0,0.878,213.0,60.0,0.2817,3.48
closer,Closer,The Chainsmokers,3.65,0.1657,0.4005,-0.9509,0.084,0.131,0.785,399.0,100.0,0.2506,3.52
birds_of_a_feather,BIRDS OF A FEATHER,Billie Eilish,3.58,0.225,0.5216,-0.9853,0.123,0.205,0.672,328.0,114.0,0.3476,3.21
riptide,Riptide,Vance Joy,3.57,-0.0661,0.4523,0.9786,0.127,0.065,0.808,382.0,107.0,0.2801,3.6
something_just_like_this,Something Just Like This,The Chainsmokers,3.56,0.2143,0.3262,0.9963,0.226,0.028,0.747,336.0,81.0,0.2411,3.89
say_you_wont_let_go,Say You Won't Let Go,James Arthur,3.56,0.2329,0.4447,0.9985,0.252,0.036,0.712,383.0,161.0,0.4204,3.34
die_with_a_smile,Die With A Smile,Lady Gaga,3.54,0.1138,0.201,0.9858,0.196,0.1,0.705,318.0,84.0,0.2642,3.33
another_love,Another Love,Tom Odell,3.49,0.3617,0.5956,0.999,0.359,0.145,0.496,308.0,86.0,0.2792,3.52
dance_monkey,Dance Monkey,Tones and I,3.41,0.2786,0.4,0.0387,0.03,0.023,0.947,464.0,74.0,0.1595,3.09
take_me_to_church,Take Me To Church,Hozier,3.4,0.1938,0.615,0.9023,0.223,0.185,0.592,460.0,151.0,0.3283,3.63
counting_stars,Counting Stars,OneRepublic,3.39,-0.0981,0.533,-0.9853,0.047,0.115,0.838,547.0,101.0,0.1846,3.77
every_breath_you_take,Every Breath You Take,The Police,3.38,-0.2003,0.4863,-0.0951,0.08,0.081,0.84,382.0,70.0,0.1832,3.76
photograph,Photograph,Ed Sheeran,3.35,0.1219,0.5939,0.9919,0.169,0.074,0.756,336.0,119.0,0.3542,3.75
rockstar,rockstar,Post Malone,3.35,0.0669,0.4843,0.9806,0.157,0.088,0.755,527.0,184.0,0.3491,3.62
cruel_summer,Cruel Summer,Taylor Swift,3.29,-0.105,0.5593,-0.9703,0.175,0.185,0.641,495.0,137.0,0.2768,3.29
